#0_Li2013-1,1_Li2013-2,2_Hah2013-1,3_Hah2013-2,4_Duttke2015-1,5_Duttke2015-2,6_Yang2014-1,7_Yang2014-2,8_Margazzi2012-1,9_Puc2015-1,10_Puc2015-2,11_Saponaro2014-1,12_Saponaro2014-2,13_Fong2014-1,14_Fong2014-2,15_Jin2013-1,16_Jin2013-2,17_Jin2014-1,18_Jin2014-2,19_Danko2015-1,20_Danko2015-2,21_Andersson2014-1,22_Andersson2014-2,23_Core2014-1,24_Core2014-2,25_Wang2013-1,26_Wang2013-2,27_Luo2014-1,28_Luo2014-2,29_Sigova2013-1,30_Sigova2013-2,31_Allen2014-1,32_Allen2014-2,33_Meng2014a-1,34_Gardini2014-1,35_Gardini2014-2,36_Le2013-1
22255.0,6081.0,1393.0,1365.0,501.0,478.0,1843.0,1820.0,1091.0,1092.0,1059.0,1084.0,1008.0,1156.0,1261.0,1563.0,2235.0,2089.0,1463.0,1050.0,1110.0,1075.0,1063.0,1143.0,1011.0,927.0,805.0,1067.0,1018.0,1307.0,1262.0,1309.0,1448.0,680.0,1730.0,2179.0,681.0
6081.0,15794.0,1635.0,1703.0,557.0,549.0,1778.0,1813.0,1121.0,1155.0,1082.0,1139.0,1084.0,889.0,989.0,1571.0,2026.0,1971.0,1465.0,1037.0,1045.0,1085.0,1101.0,1143.0,983.0,884.0,806.0,1124.0,1077.0,1288.0,1241.0,1351.0,1453.0,727.0,1576.0,2109.0,747.0
1393.0,1635.0,24408.0,9726.0,589.0,596.0,558.0,669.0,1114.0,599.0,545.0,1392.0,1424.0,108.0,108.0,1168.0,1097.0,435.0,480.0,1294.0,1492.0,1819.0,1732.0,1422.0,1179.0,1220.0,1160.0,1729.0,2134.0,3057.0,3120.0,1611.0,1695.0,973.0,847.0,1291.0,1540.0
1365.0,1703.0,9726.0,27795.0,644.0,607.0,585.0,697.0,1181.0,621.0,578.0,1478.0,1478.0,109.0,121.0,1234.0,1150.0,440.0,479.0,1330.0,1490.0,1782.0,1847.0,1493.0,1165.0,1236.0,1267.0,1831.0,2465.0,3085.0,2993.0,1668.0,1754.0,1085.0,863.0,1366.0,1816.0
501.0,557.0,589.0,644.0,5210.0,1561.0,273.0,340.0,564.0,300.0,291.0,752.0,732.0,86.0,82.0,668.0,645.0,298.0,290.0,417.0,430.0,850.0,943.0,452.0,429.0,401.0,383.0,617.0,708.0,500.0,479.0,655.0,679.0,415.0,809.0,832.0,476.0
478.0,549.0,596.0,607.0,1561.0,4968.0,286.0,332.0,543.0,299.0,283.0,731.0,678.0,94.0,100.0,674.0,599.0,314.0,300.0,404.0,413.0,802.0,886.0,435.0,409.0,395.0,342.0,565.0,679.0,467.0,477.0,644.0,654.0,367.0,748.0,770.0,434.0
1843.0,1778.0,558.0,585.0,273.0,286.0,4444.0,1750.0,491.0,1045.0,962.0,572.0,497.0,438.0,483.0,887.0,963.0,1397.0,1211.0,427.0,442.0,420.0,501.0,484.0,431.0,406.0,383.0,490.0,466.0,541.0,453.0,558.0,600.0,336.0,884.0,1010.0,343.0
1820.0,1813.0,669.0,697.0,340.0,332.0,1750.0,4396.0,636.0,1113.0,1053.0,673.0,621.0,410.0,466.0,949.0,1044.0,1407.0,1245.0,571.0,589.0,540.0,618.0,636.0,547.0,505.0,478.0,620.0,588.0,667.0,606.0,733.0,766.0,410.0,926.0,1098.0,428.0
1091.0,1121.0,1114.0,1181.0,564.0,543.0,491.0,636.0,8055.0,610.0,561.0,927.0,882.0,88.0,115.0,1752.0,1646.0,494.0,476.0,1246.0,1338.0,1653.0,1928.0,1671.0,1285.0,1164.0,1004.0,2201.0,2028.0,1538.0,1413.0,2388.0,2530.0,783.0,1129.0,1941.0,731.0
1092.0,1155.0,599.0,621.0,300.0,299.0,1045.0,1113.0,610.0,2991.0,1259.0,576.0,522.0,156.0,168.0,736.0,755.0,979.0,1036.0,541.0,536.0,511.0,566.0,616.0,532.0,506.0,455.0,572.0,543.0,617.0,553.0,668.0,706.0,380.0,703.0,860.0,345.0
