#0_Luo2014-1,1_Luo2014-2,2_Jin2013-1,3_Jin2013-2,4_Jin2014-1,5_Jin2014-2,6_Meng2014a-1,7_Li2013-1,8_Li2013-2,9_Margazzi2012-1,10_Saponaro2014-1,11_Saponaro2014-2,12_Fong2014-1,13_Fong2014-2,14_Danko2015-1,15_Danko2015-2,16_Andersson2014-1,17_Andersson2014-2,18_Core2014-1,19_Core2014-2,20_Allen2014-1,21_Allen2014-2,22_Sigova2013-1,23_Sigova2013-2,24_Gardini2014-1,25_Gardini2014-2,26_Wang2013-1,27_Wang2013-2,28_Yang2014-1,29_Yang2014-2,30_Hah2013-1,31_Hah2013-2,32_Duttke2015-1,33_Duttke2015-2,34_Puc2015-1,35_Puc2015-2,36_Le2013-1,37_Core2008-1,38_Core2008-2
13926.0,8448.0,4783.0,4237.0,461.0,457.0,1088.0,1066.0,1124.0,2202.0,1175.0,1122.0,109.0,137.0,1854.0,1930.0,2393.0,2960.0,2586.0,1685.0,3292.0,3413.0,2009.0,2003.0,1289.0,2509.0,1733.0,1493.0,490.0,620.0,1728.0,1831.0,617.0,565.0,570.0,543.0,995.0,2403.0,2344.0
8448.0,19270.0,4747.0,4190.0,433.0,421.0,1268.0,1018.0,1077.0,2027.0,1287.0,1281.0,114.0,148.0,1946.0,1991.0,2545.0,3325.0,2414.0,1588.0,3252.0,3422.0,2020.0,1931.0,1299.0,2475.0,1767.0,1664.0,466.0,588.0,2134.0,2464.0,708.0,679.0,542.0,477.0,1342.0,2644.0,2622.0
4783.0,4747.0,14079.0,6481.0,907.0,825.0,821.0,1562.0,1571.0,1751.0,1162.0,1148.0,300.0,336.0,1417.0,1425.0,1667.0,2097.0,1939.0,1310.0,2688.0,2773.0,1572.0,1470.0,1589.0,2491.0,1242.0,1062.0,888.0,949.0,1167.0,1234.0,668.0,674.0,736.0,663.0,761.0,2397.0,2417.0
4237.0,4190.0,6481.0,15791.0,979.0,863.0,832.0,2234.0,2026.0,1645.0,1155.0,1104.0,531.0,572.0,1543.0,1414.0,1609.0,2002.0,1907.0,1290.0,2501.0,2621.0,1558.0,1437.0,1592.0,2431.0,1332.0,1139.0,963.0,1044.0,1097.0,1150.0,645.0,599.0,755.0,703.0,761.0,2213.0,2275.0
461.0,433.0,907.0,979.0,5129.0,1556.0,331.0,2089.0,1971.0,494.0,536.0,506.0,366.0,440.0,400.0,415.0,441.0,464.0,441.0,398.0,591.0,630.0,507.0,444.0,1011.0,1163.0,384.0,343.0,1398.0,1409.0,436.0,440.0,298.0,314.0,979.0,991.0,315.0,440.0,463.0
457.0,421.0,825.0,863.0,1556.0,3897.0,319.0,1463.0,1465.0,476.0,534.0,513.0,275.0,312.0,430.0,406.0,413.0,455.0,458.0,395.0,576.0,604.0,502.0,441.0,819.0,995.0,377.0,352.0,1211.0,1245.0,479.0,479.0,290.0,300.0,1033.0,987.0,331.0,446.0,450.0
1088.0,1268.0,821.0,832.0,331.0,319.0,8504.0,677.0,727.0,783.0,846.0,797.0,87.0,101.0,1620.0,1724.0,904.0,1002.0,1113.0,882.0,1093.0,1177.0,1087.0,1027.0,528.0,753.0,1865.0,1659.0,334.0,410.0,973.0,1085.0,415.0,367.0,380.0,349.0,771.0,882.0,862.0
1066.0,1018.0,1562.0,2234.0,2089.0,1463.0,677.0,22255.0,6081.0,1091.0,1084.0,1008.0,1156.0,1261.0,1050.0,1110.0,1075.0,1063.0,1143.0,1011.0,1309.0,1448.0,1307.0,1262.0,1730.0,2179.0,927.0,805.0,1843.0,1820.0,1393.0,1365.0,501.0,478.0,1092.0,1059.0,681.0,1090.0,1088.0
1124.0,1077.0,1571.0,2026.0,1971.0,1465.0,727.0,6081.0,15794.0,1121.0,1139.0,1084.0,889.0,989.0,1037.0,1045.0,1085.0,1101.0,1143.0,983.0,1351.0,1453.0,1288.0,1241.0,1576.0,2109.0,884.0,806.0,1778.0,1813.0,1635.0,1703.0,557.0,549.0,1155.0,1082.0,747.0,1097.0,1079.0
2202.0,2027.0,1751.0,1645.0,494.0,476.0,783.0,1091.0,1121.0,8055.0,927.0,882.0,88.0,115.0,1246.0,1338.0,1653.0,1928.0,1671.0,1285.0,2388.0,2530.0,1538.0,1413.0,1129.0,1941.0,1164.0,1004.0,490.0,637.0,1115.0,1181.0,564.0,543.0,610.0,561.0,731.0,1252.0,1241.0
