#----------------------------------------------------
#Date Time    : 11/10/2015 01:28:56
#-N           : simulation
#-i           : /Users/azofeifa/Lab/simulation_analysis/bedgraph_files/many_k.pos.bedgraph
#-j           : /Users/azofeifa/Lab/simulation_analysis/bedgraph_files/many_k.neg.bedgraph
#-k           : /Users/azofeifa/Lab/simulation_analysis/interval_files/many_k_intervals.bed
#-o           : /Users/azofeifa/Lab/ChIP/HCT116/EMG_out_files/
#-ns          : 100
#-br          : 1
#-bct         : 0.9
#-template    : 0
#-elon        : 0
#-foot_res    : 10
#-pad         : 0
#-window_res  : 3
#-minK        : 1
#-maxK        : 10
#-ms_pen      : 1
#-mi          : 2000
#-ct          : 0.0001
#-rounds      : 100
#-ALPHA_0     : 1
#-BETA_0      : 1
#-BETA_1      : 1
#-ALPHA_2     : 1
#-ALPHA_3     : 1000
#----------------------------------------------------
#ID|chromosome:start-stop|forward strand coverage, reverse strand coverage
#model complexity,log-likelihood
#mu_k	sigma_k	lambda_k	pi_k	fp_k	w_[p,k],w_[f,k],w_[r,k]	b_[f,k]	a_[r,k]
>1,0|chrN:0-56016|649.000000,650.000000
~0,-9120.758775	
~1,-6973.095212	6002.792275	343.994239	925.144258	0.503172	50.000000	0.896135,0.088077,0.013065	56016.000000	0.000000
~2,-6933.183747	6000.077606,54560.857687	367.792281,74.134744	851.465138,62.877359	0.499871	100.000000,100.000000	0.814828,0.085123,0.008810|0.002436,0.002000,0.081780	56016.000000,56016.000000	0.000000,0.000000
~3,-6930.669150	5997.621053,9550.359152,54537.089646	338.720969,60.766685,62.804379	887.092111,56.913796,55.000901	0.499832	50.000000,50.000000,50.000000	0.809499,0.081605,0.006467|0.006486,0.002493,0.004976|0.002701,0.001989,0.076269	56016.000000,56016.000000,56016.000000	0.000000,0.000000,0.000000
~4,-6934.658718	5999.920994,44201.866942,47788.134550,54516.179754	314.481896,72.539802,62.194405,62.587105	964.210709,2000.000000,121.438120,64.093187	0.499799	0.000000,0.000000,0.000000,0.000000	0.817972,0.069882,0.005369|0.013123,0.001918,0.002223|0.004730,0.002111,0.002185|0.002695,0.002149,0.065656	56016.000000,56016.000000,56016.000000,56016.000000	0.000000,0.000000,0.000000,0.000000
~5,-6935.421480	6000.063273,21598.976873,32820.171659,43284.220396,54516.676824	313.906387,66.340810,70.556444,94.272054,62.414943	965.553574,145.386142,1270.431845,165.111755,63.816874	0.499794	0.000000,0.000000,0.000000,0.000000,0.000000	0.817410,0.059874,0.004861|0.005847,0.002377,0.005941|0.008195,0.002543,0.002424|0.006973,0.003590,0.002144|0.002724,0.002379,0.060247	56016.000000,56016.000000,56016.000000,56016.000000,56016.000000	0.000000,0.000000,0.000000,0.000000,0.000000
~6,-6939.216984	5999.881374,14631.210757,23724.419401,43165.853664,43461.541390,54565.634844	366.183962,56.318271,77.808416,59.326105,67.596996,73.553673	854.870219,47.934188,47.865508,64.925787,53.545928,61.912966	0.499843	100.000000,100.000000,100.000000,100.000000,100.000000,100.000000	0.808122,0.065922,0.006583|0.003604,0.002802,0.011699|0.003948,0.002077,0.002353|0.005307,0.002613,0.002149|0.003163,0.002727,0.002145|0.002469,0.002310,0.055069	56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000	0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
~7,-6940.272993	5997.970044,9547.432659,43075.918470,43400.230573,49087.523667,52944.521014,54515.995621	312.187408,61.337468,62.698134,67.095474,73.284015,68.449101,62.098835	947.385688,80.316245,82.966727,77.170220,62.118848,706.479183,62.105026	0.499750	0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000	0.807900,0.058808,0.004392|0.006316,0.002879,0.007777|0.004023,0.002312,0.002540|0.004175,0.002337,0.002504|0.003690,0.001684,0.048980|0.011300,0.001498,0.002445|0.002728,0.001899,0.002416	56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000	0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
~8,-6947.362992	6000.284966,9550.771066,13535.549612,16126.332418,35317.375359,47818.203716,49141.477127,53853.319030	338.075677,60.926051,70.106199,73.365448,73.091709,64.756892,76.153614,71.973817	909.056103,57.998922,47.860111,111.933874,53.937011,105.626733,61.130342,106.519615	0.500036	50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000	0.805446,0.002455,0.004045|0.006512,0.002612,0.007152|0.003374,0.057192,0.004405|0.004333,0.002611,0.002543|0.002412,0.002057,0.002307|0.004932,0.001963,0.002270|0.003076,0.001810,0.002201|0.001823,0.002036,0.050680	56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000	0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
~9,-6947.603363	5917.774509,6299.015417,13532.792697,16126.167127,21591.847917,43155.920779,44277.531076,53020.714476,54540.006205	326.617284,69.784074,70.426891,73.949160,70.391306,61.284240,68.542467,69.066139,62.282358	783.431603,1303.647156,49.983699,117.171938,113.036641,133.254084,80.089187,768.376491,53.556026	0.499778	50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000	0.583122,0.002757,0.003280|0.227935,0.002774,0.003024|0.003088,0.045553,0.018339|0.004592,0.003282,0.002318|0.005871,0.002577,0.002490|0.006066,0.002526,0.002440|0.003002,0.003028,0.026644|0.011302,0.001478,0.002826|0.002705,0.001933,0.002781	56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000	0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
~10,-6954.121493	6001.946743,21605.256729,23688.522249,26820.578698,34839.244732,43133.747678,45492.488128,48431.639203,52946.212607,54516.204381	314.023906,65.959867,68.238525,68.445618,69.098410,65.242379,71.725325,69.212785,68.644680,61.997076	976.360170,203.325544,61.924046,2000.000000,176.034185,239.843466,2000.000000,1181.604035,896.011211,61.916766	0.499745	0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000	0.808856,0.014983,0.004272|0.006757,0.002547,0.025134|0.005075,0.002199,0.002320|0.014732,0.002285,0.002171|0.005090,0.002485,0.003199|0.006497,0.001631,0.002906|0.017897,0.001500,0.002634|0.010796,0.001469,0.002630|0.013184,0.001569,0.002821|0.002714,0.002286,0.002791	56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000,56016.000000	0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
